participant,Friendly,Respectful,Sympathy,CloseFeelings,Proud,Superior,Selfesteem,Topworld,Guilty,Indebted,Afraid,Ashamed,Disappointed,Frustrated,Angry,Sad,Trustworthy,Fair,Selfish,Cooperative,Competitive,Understanding,Caring,Envious,Altruistic,Empathetic,Trustworthy_others,Fair_others,Selfish_others,Cooperative_others,Competitive_others,Understanding_others,Caring_others,Envious_others,Altruistic_others,Empathetic_others,feel_others_behave,feel_others_influence,feel_others_reciprocity
533dl0mk,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,3.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,3.0,5.0,5.0,0.0,5.0,5.0,5.0,2.0,0.0
z8ivhoj2,5.0,5.0,5.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,5.0,3.0,0.0,2.0,3.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0
2y7ov0hm,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,3.0,2.0,4.0,4.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0
k73gzya0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,0.0,1.0,4.0,0.0,1.0,4.0,5.0,0.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,0.0,4.0,2.0,4.0,5.0,5.0
lxicvisr,4.0,5.0,4.0,1.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0
vinl5gm0,5.0,5.0,4.0,5.0,0.0,3.0,3.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,3.0,5.0,1.0,4.0,2.0,3.0,3.0,0.0,3.0,4.0,5.0,3.0,1.0,3.0,2.0,3.0,3.0,0.0,3.0,4.0,3.0,3.0,4.0
vhrsv3y0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,4.0,3.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0
1ofn789g,4.0,5.0,5.0,3.0,4.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,0.0,1.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0
a9le9b8n,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,0.0,5.0,4.0,1.0,3.0,2.0
vgyeq6rc,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,4.0,2.0,4.0,3.0,4.0
a7kf9doo,4.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,0.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,3.0,4.0,1.0
4tjim75m,5.0,5.0,5.0,4.0,5.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,3.0,5.0,3.0
bnsz9f1t,3.0,5.0,5.0,3.0,0.0,3.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,5.0,1.0,4.0,4.0,5.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0
irwmyx1w,4.0,4.0,3.0,3.0,4.0,1.0,4.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
w6bkej05,5.0,5.0,4.0,5.0,3.0,2.0,3.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,5.0,4.0,2.0,4.0,0.0,3.0,2.0,5.0,5.0,0.0,5.0,2.0,4.0,5.0,0.0,4.0,4.0,5.0,5.0,4.0
qvjnnodq,4.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8t5ghcr8,4.0,5.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0
fusgwzuc,5.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,3.0,4.0,1.0,0.0,4.0,3.0,0.0,2.0,3.0,4.0,3.0,1.0,4.0,5.0,4.0,4.0,1.0,4.0,4.0,2.0,0.0,3.0
